iter	Logloss
0	0.6724962631
1	0.6570561804
2	0.6416715869
3	0.6271594545
4	0.614715016
5	0.6017913967
6	0.5912942616
7	0.5790767002
8	0.5693837803
9	0.5582386384110	0.5495528567
11	0.5414340993
12	0.5343562645
13	0.5260241935
14	0.5196243706
15	0.5130460215
16	0.5070184851717	0.5021230061818	0.497265124119	0.4913002937220	0.4858376604221	0.4804559035222	0.4763955499
23	0.4722714081
24	0.4690285997
25	0.4651994355
26	0.4606394772727	0.4571324252828	0.4532921392929	0.4511474603030	0.4486556183131	0.44606173632	0.4405725271
3333	0.4414641963434	0.4395999963535	0.437202028336	0.4350586331337	0.4328003897338	0.4305607583939	0.4284960934040	0.4266375534141	0.4249160154242	0.4233604114343	0.4219031994444	0.4206835664545	0.4192327494646	0.4176323324747	0.4167002794848	0.4148838924949	0.4140025545050	0.4120593195151	0.4106926635252	0.4095772205353	0.4088683554	54	0.4078780155	55	0.4069241456	56	0.4057989857	57	0.4051186158	58	0.4040090159	59	0.4031678360	60	0.4020535461	61	0.401391362	62	0.4005371963	63	0.3996159164	64	0.398573665	065	0.398216766	066	0.3979840502
67	0.397726068	068	0.396196669	069	0.395903870	070	0.395490271	071	0.394940772	072	0.394526473	073	0.394142574	074	0.393625775	075	0.393431076	076	0.393058877	77	0.3926869778	78	0.3923718279	79	0.3919864980	80	0.3917368281	81	0.3915216782	82	0.3905369783	83	0.3899183484	84	0.389086688585	0.3887741878686	0.3881249659
87	0.3875076886
88	0.3869683078
89	0.3864059298
90	0.3858433504
91	0.3855993758
92	0.3854215229393	0.3849146159494	0.3846498779595	0.3840840869696	0.3832276119797	0.3827114729898	0.3821538169999	0.381500211100	0.3723874302
101	0.3721097201
102	0.3716025916
10103	0.37929289210104	0.3790360231
105	0.3786241062
106	0.3784014273
107	0.3779237554
108	0.3774997062
109	0.3771192964
110	0.3766079241
111	0.3762759328
112	0.3759585227
113	0.3754385589
114	0.3751764693
115	0.3749477188
116	0.3742783626
117	0.373615275
118	0.3732574067
119	0.3730444832
120	0.3725002353
121	0.3722352181
122	0.3721603627
123	0.3715925165
124	0.3713426255
125	0.3707681818
126	0.3702271918
127	0.3700163314
128	0.3696710895
129	0.3694894148
130	0.3692510378
131	0.3690596069
132	0.3687726868
133	0.3683771996
134	0.3682510163
135	0.367678064
136	0.3673430362
137	0.3671377863
138	0.3668533367
139	0.3666714484
140	0.3662824343
141	0.3657675135
142	0.365326082
143	0.3651629023
144	0.3650319097
145	0.3648505684
146	0.3645920646
147	0.3643303657
148	0.364094328
149	0.3638359109
150	0.3636152647
151	0.3633059015
152	0.3631027139
153	0.3628479922
154	0.3626424986
155	0.3622598875
156	0.3612868837
157	0.3611389222
158	0.360826791
159	0.3605349592
160	0.3603870926
161	0.3599413807
162	0.3596829664
163	0.3595125858
164	0.3591902691
165	0.3587841463
166	0.3586391305
167	0.3583339464
168	0.3582088568
169	0.3578336293
170	0.3576550018
171	0.3571906192
172	0.3570023949
173	0.3567344956
174	0.3565909514
175	0.3563067465
176	0.3561666364
177	0.3558381308
178	0.355694224
179	0.3554754845
180	0.3551171501
181	0.3550585384
182	0.3548593915
183	0.3547486891
184	0.3546235603
185	0.3544487505
186	0.35413625
187	0.353822485
188	0.3537554568
189	0.3536476752
190	0.3534023182
191	0.353016588
192	0.3529265909
193	0.3519512199
194	0.3514654725
195	0.3512226766
196	0.3510189608
197	0.350458634
198	0.3503009907
199	0.3500558846
200	0.349486486
201	0.3490902651
202	0.3486817138
203	0.34851136
204	0.3484276801
205	0.3481610159
206	0.3477195913
207	0.3468498655
208	0.3467432721
209	0.3461964547
210	0.3454773756
211	0.3453713174
212	0.3449314701
213	0.3445798772
214	0.3444632554
215	0.3440081741
216	0.3437020469
217	0.3431827862
218	0.3429842024
219	0.3426066899
220	0.3423949646
221	0.3422735136
222	0.3420250703
223	0.3415260218
224	0.3411079297
225	0.3408246763
226	0.3403317928
227	0.339969932
228	0.3399264653
229	0.3398464058
230	0.3392950798
231	0.3390049743
232	0.3385779051
233	0.3381880258
234	0.337854329
235	0.3376662052
236	0.3371777387
237	0.3371082512
238	0.3367675994
239	0.3365726955
240	0.3363011773
241	0.3358470693
242	0.3354041383
243	0.3352687986
244	0.335170269
245	0.3344368318
246	0.3343249665
247	0.3341530188
248	0.3338521857
249	0.3334138967
250	0.3332648381
251	0.3332004633
252	0.3324813262
253	0.3323344073
254	0.3321295707
255	0.3320606188
256	0.3316175944
257	0.3312398318
258	0.3309346691
259	0.3307230201
260	0.3302745501
261	0.330175623
262	0.3297871074
263	0.3294120778
264	0.3289963188
265	0.3285778817
266	0.3284256849
267	0.3280987847
268	0.3277101991
269	0.3270650736
270	0.3266609064
271	0.3263765173
272	0.3262443694
273	0.3261651746
274	0.3260841694
275	0.325445765
276	0.3251847209
277	0.3251134968
278	0.3246477626
279	0.3245474693
280	0.3243696104
281	0.32378861282282	0.32367549283283	0.32361049284284	0.32326619285	0.3189553103
286	0.3188977246
287	0.3185398326
288	0.3184767599
289	0.3184244402
290	0.3183756828
291	0.3179482906
292	0.3174708106
293	0.3174271952
294	0.3173583937
295	0.3172566194
296	0.3171996254
297	0.317138831
298	0.316749072
299	0.3165892569
47
